Transactive	B-LF
response	I-LF
DNA-binding	I-LF
Protein	I-LF
of	I-LF
43	I-LF
kDa	I-LF
,	B-O
and	B-O
the	B-O
NMR	B-O
assignments	B-O
confirmed	B-O
the	B-O
presence	B-O
of	I-LF
the	B-O
α-helix	B-O
in	B-O
the	B-O
central	B-O
region	B-O
of	I-LF
TDP-43	B-AC
PrLD	B-AC
.	B-O
In	B-O
addition	B-O
to	B-O
the	B-O
helical	B-O
region,	B-O
Li	B-O
and	B-O
colleagues	B-O
have	B-O
shown	B-O
that	B-O
aromatic	B-O
residues	B-O
within	B-O
the	B-O
GAroS	B-AC
segments	B-O
outside	B-O
the	B-O
central	B-O
region	B-O
are	B-O
also	B-O
relevant	B-O
to	B-O
some	B-O
extent	B-O
to	B-O
the	B-O
assembly	B-O
process	B-O
.	B-O
In	B-O
order	B-O
to	B-O
interrogate	B-O
the	B-O
role	B-O
of	I-LF
the	B-O
helical	B-O
component	B-O
and	B-O
the	B-O
GAroS	B-AC
regions	B-O
in	B-O
the	B-O
intrinsic	B-O
aggregation	B-O
of	I-LF
TDP-43	B-AC
PrLD	B-AC
at	B-O
pH	B-O
4,	B-O
we	B-O
analyzed	B-O
peak	B-O
intensities	B-O
of	I-LF
the	B-O
1	B-O
H-	B-O
15	B-O
N	B-O
HSQC	B-O
spectrum.	B-O
This	B-O
strategy	B-O
has	B-O
been	B-O
used	B-O
to	B-O
characterize	B-O
the	B-O
helix-driven	B-O
aggregation	B-O
pathway	B-O
of	I-LF
TDP-43	B-AC
PrLD	B-AC
upon	B-O
droplet	B-O
induction	B-O
with	B-O
salt	B-O
at	B-O
higher	B-O
pH	B-O
values	B-O
[	B-O
10	B-O
,	B-O
11	B-O
].	B-O
The	B-O
peak	B-O
intensities	B-O
observed	B-O
for	B-O
the	B-O
first	B-O
1	B-O
H-	B-O
15	B-O
N	B-O
HSQC	B-O
spectra	B-O
recorded	B-O
within	B-O
the	B-O
first	B-O
hour	B-O
from	B-O
sample	B-O
preparation	B-O
at	B-O
2	B-O
different	B-O
concentrations	B-O
,	B-O
which	B-O
is	B-O
interpreted	B-O
as	B-O
shift	B-O
from	B-O
the	B-O
monomeric	B-O
toward	B-O
the	B-O
aggregate	B-O
state	B-O
mediated	B-O
by	B-O
helix–helix	B-O
intermolecular	B-O
interactions,	B-O
in	B-O
line	B-O
with	B-O
previous	B-O
observations	B-O
[	B-O
9	B-O
–	B-O
12	B-O
].	B-O
Over	B-O
the	B-O
course	B-O
of	I-LF
approximately	B-O
20	B-O
hours,	B-O
the	B-O
greater	B-O
signal	B-O
intensity	B-O
loss	B-O
of	I-LF
the	B-O
central	B-O
region	B-O
became	B-O
more	B-O
evident	B-O
at	B-O
both	B-O
concentrations	B-O
.	B-O
A	B-O
closer	B-O
inspection	B-O
of	I-LF
these	B-O
data	B-O
revealed	B-O
that,	B-O
in	B-O
addition	B-O
to	B-O
the	B-O
central	B-O
region	B-O
containing	B-O
the	B-O
helix,	B-O
other	B-O
signals	B-O
show	B-O
reductions	B-O
in	B-O
signal	B-O
intensity.	B-O
Although	B-O
these	B-O
are	B-O
minor	B-O
changes,	B-O
they	B-O
are	B-O
consistently	B-O
observed	B-O
over	B-O
time	B-O
and	B-O
at	B-O
the	B-O
2	B-O
concentrations	B-O
.	B-O
In	B-O
particular,	B-O
we	B-O
highlight	B-O
the	B-O
following	B-O
stretches	B-O
of	I-LF
hydrophobic	B-O
residues:	B-O
4	B-O
Phe-Gly-rich	B-O
motifs	B-O
at	B-O
positions	B-O
276	B-O
to	B-O
284,	B-O
288	B-O
to	B-O
290,	B-O
367	B-O
to	B-O
368,	B-O
and	B-O
396	B-O
to	B-O
403;	B-O
1	B-O
Tyr-Ser-Gly	B-O
motif	B-O
at	B-O
373	B-O
to	B-O
376;	B-O
and	B-O
2	B-O
Trp-Gly	B-O
motifs	B-O
at	B-O
positions	B-O
384	B-O
to	B-O
386	B-O
and	B-O
411	B-O
to	B-O
413	B-O
.	B-O
This	B-O
result	B-O
correlates	B-O
very	B-O
well	B-O
with	B-O
mutational	B-O
analyses	B-O
that	B-O
showed	B-O
that,	B-O
in	B-O
addition	B-O
to	B-O
the	B-O
helical	B-O
region,	B-O
Phe283,	B-O
Phe289	B-O
The	B-O
1	B-O
H-	B-O
15	B-O
N	B-O
HSQC	B-O
spectra	B-O
of	I-LF
TDP-43	B-AC
PrLD	B-AC
at	B-O
pH	B-O
4	B-O
and	B-O
25°C	B-O
,	B-O
and	B-O
we	B-O
observed	B-O
that	B-O
the	B-O
NMR	B-O
samples	B-O
contained	B-O
aggregated	B-O
material	B-O
displaying	B-O
extensive	B-O
droplet	B-O
formation	B-O
.	B-O
Overall,	B-O
these	B-O
findings	B-O
evince	B-O
that	B-O
.	B-O
Similarly,	B-O
the	B-O
GAroS	B-AC
region	B-O
that	B-O
is	B-O
carboxyl	B-O
terminus	B-O
to	B-O
the	B-O
α-helix	B-O
contains	B-O
6	B-O
aromatic	B-O
residues,	B-O
which	B-O
can	B-O
be	B-O
grouped	B-O
in	B-O
the	B-O
following	B-O
sticker-and-spacers	B-O
pairs:	B-O
Tyr374–Trp385	B-O
.	B-O
Therefore,	B-O
our	B-O
interpretation	B-O
that	B-O
the	B-O
lower	B-O
peak	B-O
intensities	B-O
in	B-O
the	B-O
1	B-O
H-	B-O
15	B-O
N	B-O
HSQC	B-O
mapping	B-O
to	B-O
the	B-O
GAroS	B-AC
regions	B-O
resulted	B-O
from	B-O
intermolecular	B-O
interactions	B-O
driving	B-O
the	B-O
monomer	B-O
to	B-O
droplet	B-O
transition	B-O
fits	B-O
well	B-O
within	B-O
this	B-O
stickers-and-spacers	B-O
model	B-O
for	B-O
PrLD-containing	B-O
proteins	B-O
and	B-O
is	B-O
in	B-O
agreement	B-O
with	B-O
the	B-O
conformational	B-O
evolution	B-O
revealed	B-O
by	B-O
Trp	B-O
fluorescence,	B-O
as	B-O
the	B-O
wavelength	B-O
of	I-LF
maximum	B-O
Trp	B-O
emission,	B-O
which	B-O
is	B-O
high	B-O
during	B-O
the	B-O
first	B-O
10	B-O
hours	B-O
.	B-O
In	B-O
line	B-O
with	B-O
these	B-O
observations,	B-O
light	B-O
scattering	B-O
values	B-O
were	B-O
low	B-O
at	B-O
the	B-O
beginning	B-O
and	B-O
sharply	B-O
increased	B-O
over	B-O
the	B-O
next	B-O
several	B-O
hours,	B-O
approximately	B-O
coinciding	B-O
with	B-O
the	B-O
NMR	B-O
signal	B-O
loss	B-O
.	B-O
During	B-O
this	B-O
period,	B-O
the	B-O
scattering	B-O
remains	B-O
steady	B-O
for	B-O
several	B-O
hours	B-O
and	B-O
then	B-O
increases	B-O
further	B-O
after	B-O
1	B-O
day,	B-O
suggesting	B-O
the	B-O
formation	B-O
of	I-LF
2	B-O
distinct	B-O
assembled	B-O
species.	B-O
Download:	B-O
PPT	B-O
PowerPoint	B-O
slide	B-O
PNG	B-O
larger	B-O
image	B-O
TIFF	B-O
original	B-O
image	B-O
Fig	B-O
2.	B-O
Droplet	B-O
assembly	B-O
is	B-O
coupled	B-O
to	B-O
fibril	B-O
formation.	B-O
.	B-O
Interestingly,	B-O
Thioflavin	B-O
T	B-O
and,	B-O
consistent	B-O
with	B-O
the	B-O
data	B-O
presented,	B-O
dense	B-O
networks	B-O
of	I-LF
fibrils	B-O
were	B-O
imaged	B-O
by	B-O
transmission	B-LF
electron	I-LF
microscopy	I-LF
.	B-O
The	B-O
observation	B-O
of	I-LF
ThT-reactive	B-O
droplets	B-O
in	B-O
2	B-O
distinct	B-O
samples	B-O
that	B-O
aggregated	B-O
following	B-O
the	B-O
same	B-O
mechanism,	B-O
as	B-O
uncovered	B-O
by	B-O
LSNMR	B-AC
,	B-O
together	B-O
with	B-O
the	B-O
imaging	B-O
of	I-LF
the	B-O
fibrils	B-O
by	B-O
TEM	B-AC
and	B-O
the	B-O
analysis	B-O
of	I-LF
the	B-O
conformational	B-O
evolution,	B-O
firmly	B-O
establishes	B-O
that	B-O
TDP-43	B-AC
PrLD	B-AC
fibril	B-O
formation	B-O
is	B-O
coupled	B-O
to	B-O
droplets	B-O
under	B-O
these	B-O
conditions.	B-O
The	B-O
above	B-O
results	B-O
evoke	B-O
the	B-O
recent	B-O
work	B-O
by	B-O
Gui	B-O
and	B-O
colleagues,	B-O
who	B-O
used	B-O
ThT	B-AC
fluorescence	B-O
and	B-O
confocal	B-O
microscopy	I-LF
to	B-O
provide	B-O
direct	B-O
visual	B-O
evidence	B-O
that	B-O
fibrils	B-O
from	B-O
hnRNPA1—another	B-O
protein	B-O
with	B-O
a	B-O
PrLD—formed	B-O
from	B-O
induced	B-O
protein	B-O
droplets	B-O
.	B-O
A	B-O
close	B-O
inspection	B-O
to	B-O
both	B-O
hnRNPA1	B-O
in	B-O
Gui	B-O
and	B-O
colleagues’	B-O
paper	B-O
and	B-O
TDP-43	B-AC
PrLD	B-AC
in	B-O
the	B-O
present	B-O
work	B-O
revealed	B-O
a	B-O
critical	B-O
difference:	B-O
Whereas	B-O
ThT	B-AC
fluorescence	B-O
shines	B-O
from	B-O
the	B-O
droplet	B-O
interior	B-O
in	B-O
hnRNPA1	B-O
aggregates,	B-O
indicative	B-O
of	I-LF
fibrils	B-O
confined	B-O
within	B-O
the	B-O
droplet	B-O
interior,	B-O
the	B-O
TDP-43	B-AC
PrLD	B-AC
fibrils	B-O
seems	B-O
to	B-O
be	B-O
present	B-O
at	B-O
the	B-O
surface,	B-O
but	B-O
not	B-O
inside	B-O
the	B-O
droplet.	B-O
One	B-O
distinctive	B-O
advantage	B-O
of	I-LF
confocal	B-O
microscopy	I-LF
is	B-O
the	B-O
possibility	B-O
of	I-LF
scanning	B-O
the	B-O
entire	B-O
volume	B-O
of	I-LF
a	B-O
droplet,	B-O
slice	B-O
by	B-O
slice,	B-O
and	B-O
this	B-O
feature	B-O
allowed	B-O
us	B-O
to	B-O
look	B-O
in	B-O
closer	B-O
detail	B-O
at	B-O
TDP-43	B-AC
PrLD	B-AC
droplets.	B-O
In	B-O
Fig	B-O
3	B-O
,	B-O
we	B-O
provide	B-O
direct	B-O
visualization	B-O
that	B-O
fibrils	B-O
are	B-O
in	B-O
the	B-O
surface	B-O
and	B-O
not	B-O
in	B-O
the	B-O
interior	B-O
of	I-LF
the	B-O
droplet.	B-O
Furthermore,	B-O
they	B-O
seem	B-O
to	B-O
detach	B-O
upon	B-O
reaching	B-O
a	B-O
critical	B-O
size	B-O
.	B-O
Download:	B-O
PPT	B-O
PowerPoint	B-O
slide	B-O
PNG	B-O
larger	B-O
image	B-O
TIFF	B-O
original	B-O
image	B-O
Fig	B-O
3.	B-O
ThT-positive,	B-O
TDP-43’s	B-O
PrLD	B-AC
fibrils	B-O
emerge	B-O
from	B-O
protein	B-O
droplets.	B-O
.	B-O
We	B-O
have	B-O
then	B-O
shown	B-O
that	B-O
this	B-O
intrinsic	B-O
aggregation	B-O
pathway	B-O
couples	B-O
droplet	B-O
formation	B-O
with	B-O
the	B-O
accumulation	B-O
of	I-LF
amyloid	B-O
fibrils	B-O
at	B-O
the	B-O
droplet	B-O
surface/solvent	B-O
interface.	B-O
What	B-O
structural	B-O
factors	B-O
drive	B-O
the	B-O
conversion	B-O
of	I-LF
fibrils?	B-O
During	B-O
droplet	B-O
assembly,	B-O
Trp-Gly	B-O
motifs	B-O
are	B-O
the	B-O
most	B-O
important	B-O
residues	B-O
in	B-O
assisting	B-O
the	B-O
helical	B-O
region	B-O
[	B-O
9	B-O
,	B-O
11	B-O
].	B-O
In	B-O
fibrils,	B-O
previous	B-O
cryo-EM	B-AC
and	B-O
SSNMR	B-AC
studies	B-O
with	B-O
the	B-O
TDP-43	B-AC
PrLD	B-AC
.	B-O
Thus,	B-O
we	B-O
ought	B-O
to	B-O
explore	B-O
whether	B-O
the	B-O
symmetrically	B-O
distributed	B-O
aromatic	B-O
residues	B-O
within	B-O
the	B-O
TDP-43	B-AC
PrLD	B-AC
GAroS	B-AC
would	B-O
form	B-O
part	B-O
of	I-LF
the	B-O
fibril	B-O
core,	B-O
by	B-O
taking	B-O
advantage	B-O
of	I-LF
their	B-O
unique	B-O
structural	B-O
signature	B-O
in	B-O
the	B-O
NMR	B-O
spectra.	B-O
We	B-O
analyzed	B-O
the	B-O
aggregated	B-O
material	B-O
that	B-O
became	B-O
invisible	B-O
to	B-O
LSNMR	B-AC
by	B-O
means	B-O
of	I-LF
SSNMR.	B-O
Although	B-O
full	B-O
structure	B-O
determination	B-O
by	B-O
SSNMR	B-AC
requires	B-O
multiple	B-O
samples	B-O
with	B-O
different	B-O
labeling	B-O
schemes	B-O
and	B-O
in	B-O
large	B-O
quantities	B-O
,	B-O
we	B-O
could	B-O
reconstitute	B-O
a	B-O
modest	B-O
amount	B-O
of	I-LF
the	B-O
fibril	B-O
conformation	B-O
that	B-O
formed	B-O
at	B-O
the	B-O
droplet/solvent	B-O
interface.	B-O
Cross-Polarization	B-LF
Magic	I-LF
Angle	I-LF
Spinning	I-LF
that	B-O
remain	B-O
static	B-O
and	B-O
